TIMESTAMP,RECORD,BGTemp_C_Avg,AirTC_Avg,RH_Avg,P_Air_Avg,cal_NetRad_Pyrano_Up_Avg,mean_wind_speed,mean_wind_direction,std_wind_dir,wind_speed_Max,esat_kPa,ea_kPa,dewpoint_C,wet_bulb_C,WBGT_C
2025-04-29 12:00:00,10854.0,11.39264,-10.38026,79.43734,1005.73,508.8049,0.6117777,85.62819,17.7703,1.12,0.2778615433942303,0.22072581895532228,-13.25321202302719,-11.284249783693724,-6.658472848585607
2025-04-29 12:30:00,10855.0,9.186355,-10.37413,80.97906,1005.785,509.5847,1.159889,120.8111,9.931442,1.64,0.2779965872959911,0.22511902322437302,-13.010393431517775,-11.206973270218603,-7.045023289153021
2025-04-29 13:00:00,10856.0,5.318151,-10.61689,83.37642,1005.932,543.2151,1.597,128.4542,7.110126,2.06,0.2726930537659563,0.22736170581872955,-12.888062977900486,-11.352429918225475,-7.944759742757832
2025-04-29 13:30:00,10857.0,7.054236,-10.25924,82.15263,1006.078,546.1971,1.124556,140.1982,7.489371,1.98,0.28053845684611145,0.2304697204604956,-12.720299448006978,-11.050375735201266,-7.350339814640885
2025-04-29 14:00:00,10858.0,9.607175,-9.826845,80.25878,1006.17,551.0314,0.8744443,150.0696,14.06183,1.96,0.2902915797946284,0.23298448038589525,-12.586029184066723,-10.70795895646903,-6.556820769528321
2025-04-29 14:30:00,10859.0,13.79499,-8.491048,73.84776,1006.304,553.838,0.5084444,165.6086,29.22282,1.23,0.3223583398724945,0.23805441316902404,-12.319215849309774,-9.731078086160029,-4.90186146031202
2025-04-29 15:00:00,10860.0,12.90523,-8.888636,76.53409,1006.34,570.5486,0.5966668,106.664,33.94495,1.2,0.31249952560910293,0.2391686681792439,-12.261256437291342,-9.978951454761514,-5.2930836183330605
2025-04-29 15:30:00,10861.0,10.21702,-9.028453,78.11448,1006.205,529.2468,0.9142222,130.7059,19.97147,1.59,0.3090969074961789,0.24144944198672116,-12.143366177112659,-10.036563075916852,-5.885035453141795
2025-04-29 16:00:00,10862.0,6.904038,-9.137179,80.38562,1006.374,406.0519,0.7780001,109.5433,18.0798,1.3,0.3064737733173677,0.2463608428185606,-11.89283721319691,-10.03197109022546,-6.5552900631578215
2025-04-29 16:30:00,10863.0,4.86146,-9.121204,81.7249,1006.334,389.2054,0.8642222,139.5309,14.93476,1.11,0.30685794095482,0.2507793453873857,-11.671227837376964,-9.961872818479723,-6.913139372935805
2025-04-29 17:00:00,10864.0,6.50735,-8.986165,83.3315,1006.309,430.5614,0.8183334,104.7758,11.19494,1.23,0.31012254030127545,0.25842976467115736,-11.295625326613214,-9.771081239194382,-6.436903367436067
2025-04-29 17:30:00,10865.0,7.386276,-8.815134,82.69438,1006.257,424.3455,0.8856669,120.4012,20.50562,1.26,0.3143016295780887,0.25990978390949704,-11.224109261553604,-9.626238075331592,-6.142624852732115
2025-04-29 18:00:00,10866.0,3.452438,-9.023889,85.56678,1006.363,368.4702,1.440556,147.5403,5.115622,1.9,0.3092074549493112,0.2645788627200762,-11.000849301109719,-9.73385383429826,-7.0255989840087825
2025-04-29 18:30:00,10867.0,2.425009,-9.304397,86.40378,1005.962,313.4102,1.1676,147.8325,7.284523,1.36,0.30247813869612,0.2613525455070904,-11.154742083954394,-9.97587832116641,-7.428552724816487
2025-04-29 19:00:00,10868.0,3.123771,-9.290066,86.83038,1006.062,282.4168,0.9739998,150.0389,13.21054,1.2,0.30281874747307924,0.2629386691421151,-11.078874922772462,-9.949217680407394,-7.268704776285175
2025-04-29 19:30:00,10869.0,3.378425,-9.443206,87.5294,1006.174,246.2317,0.7922222,141.0645,18.07926,1.11,0.29919664378582694,0.2618850271258716,-11.12922687412361,-10.07275040757429,-7.319560885302002
2025-04-29 20:00:00,10870.0,2.56117,-9.721031,89.08039,1006.155,203.6876,0.5795556,50.75097,59.42885,0.95,0.2927238497810951,0.2607595470080136,-11.183211706454436,-10.29230179506059,-7.664480356542412
2025-04-29 20:30:00,10871.0,-1.63529,-10.81079,88.61254,1006.196,113.3787,0.942111,19.89917,24.0688,1.49,0.2685219227250173,0.237944096183475,-12.324967285560076,-11.382672719400443,-9.37600790358031
2025-04-29 21:00:00,10872.0,-10.49438,-11.21329,90.18836,1006.364,30.53908,0.9334444,8.57873,11.05061,1.52,0.2600444753656984,0.2345298476029274,-12.504157513045614,-11.725458127655351,-11.428025689358746
